id;zak;seminar;ro;date
2422; 194;23; 0; '2023-02-15 08:59:44'
2423; 194;13; 0; '2023-02-15 08:59:44'
2426; 191;23; 0; '2023-02-15 09:00:48'
2427; 191;6; 0; '2023-02-15 09:00:48'
2428; 191;25; 0; '2023-02-15 09:00:48'
2429; 191;2; 0; '2023-02-15 09:00:48'
2431; 243;23; 0; '2023-02-15 09:01:45'
2432; 243;13; 0; '2023-02-15 09:01:45'
2433; 243;9; 0; '2023-02-15 09:01:45'
2436; 227;23; 0; '2023-02-15 09:02:54'
2437; 197;29; 0; '2023-02-15 10:13:33'
